bensley@LT-10383(get_sfp_stats)$./get_sfp_stats.py -u testuser -i Area1_Switches.yml
Default password:
Checking AHP01...
Checking AHP02...
Checking ALD01...
Checking ALW01...
Checking BAS01...
Checking BAS02...
Checking BEE01...
Checking BIN01...
Checking BRD01...
Checking BRI01...
Checking CHA01...
Checking CHI01...
Checking COD01...
Checking CUR01...
Checking EDD01...
Checking ENG01...
Checking GRZ01...
Checking HER01...
Checking HER02...
Checking HGR01...
Checking HHI01...
Checking HMN01...
Checking HMP01...
Checking INK01...
Checking LOL01...
Checking PEA01...
Checking PGB01...
Connection timeout to PGB01
Checking SFD01...
Checking SHE01...
Checking SLY01...
Checking STM01...
Checking TID01...
Connection timeout to TID01
Checking UBK01...
Checking UFT01...
Checking WIC01...
Checking WOL01...
Checking WRG01...
Checking WSM01...
Checking WTB01...
Checking YAT01...
+--------+----------------+------------------------------------+-------------+-----------------+----------+----------+
| Device |      Port      |            Description             |   SPF Type  |     Part No.    | Tx Power | Rx Power |
| CUR01  | unit-13/port-2 |         To LOL01 U-11 P-1          | 10G BASE-LR |  PT7420-81-1D+  |    -4    |    -4    |
| EDD01  | unit-11/port-1 |          To 1/1/9 ICX THE          | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -2    |
| EDD01  | unit-11/port-2 |    Link to HGR01 unit 11 port 1    | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -7    |
| EDD01  | unit-13/port-1 |              to WIC01              | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -7    |
| EDD01  | unit-13/port-2 |                                    | 10G BASE-LR |  APSP31B33CDL20 |    -2    |   -40    |
| ENG01  | unit-11/port-1 |        Link to UFT01 U13/p1        | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -3    |
| ENG01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| ENG01  | unit-13/port-1 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| ENG01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| GRZ01  | unit-11/port-1 |    Link to STM01 unit 13 port 1    | 10G BASE-LR |  APSP31B33CDL20 |    -1    |    -4    |
| GRZ01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| GRZ01  | unit-13/port-1 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| GRZ01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HER01  | unit-11/port-1 |        Link to LOL01 u13-p1        | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -6    |
| HER01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HER01  | unit-13/port-1 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HER01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HER02  | unit-11/port-1 |        LINK to HMN01 U13-P1        | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -5    |
| HER02  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HER02  | unit-13/port-1 |                                    | 10G BASE-LR |  PT7420-81-1D+  |    -2    |   -40    |
| HER02  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HGR01  | unit-11/port-1 |        Link to EDD01 U11/p2        | 10G BASE-LR |  APSP31B33CDL20 |    0     |    -7    |
| HGR01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HGR01  | unit-13/port-1 |        Link to INK01 U11/p1        | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -2    |
| HGR01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HHI01  | unit-11/port-1 |    Link to BIN01 unit 13 port 1    | 10G BASE-LR |  APSP31B33CDL20 |    -3    |    -6    |
| HHI01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HHI01  | unit-13/port-1 |                                    | 10G BASE-LR |  APSP31B33CDL20 |    -3    |   -40    |
| HHI01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HMN01  | unit-11/port-1 |      HMN01 TO CHI01 U-13 P-1       | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -6    |
| HMN01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HMN01  | unit-13/port-1 |      HMN01 to  YAT01 U-11 P-1      | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -5    |
| HMN01  | unit-13/port-2 |          to HER02 U11 P1           | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -6    |
| HMP01  | unit-11/port-1 |        Link to INK01 U13/p1        | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -5    |
| HMP01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| HMP01  | unit-13/port-1 |                                    | 10G BASE-LR |  APSP31B33CDL20 |    -1    |   -40    |
| HMP01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| INK01  | unit-11/port-1 |        Link to HGR01 U13/p1        | 10G BASE-LR |  APSP31B33CDL20 |    0     |    -6    |
| INK01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| INK01  | unit-13/port-1 |        Link to HMP01 U11/p1        | 10G BASE-LR |  APSP31B33CDL20 |    -1    |    -5    |
| INK01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| LOL01  | unit-11/port-1 |         To CUR01 U-13 P-2          | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -8    |
| LOL01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| LOL01  | unit-13/port-1 |        Link to HER01 u11-p1        | 10G BASE-LR |  PT7420-81-1D+  |    -3    |    -6    |
| LOL01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| PEA01  | unit-11/port-1 |           10G VIA WTB01            | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -6    |
| PEA01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| PEA01  | unit-13/port-1 |           Link to CHI01            | 10G BASE-LR |  APSP31B33CDL20 |    -3    |   -11    |
| PEA01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| SFD01  | unit-11/port-1 |    Link to BRD01 unit 13 port 1    | 10G BASE-LR |  APSP31B33CDL20 |    -2    |    -5    |
| SFD01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| SFD01  | unit-13/port-1 |                                    | 10G BASE-LR |  APSP31B33CDL20 |    -1    |   -40    |
| SFD01  | unit-13/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| SHE01  | unit-11/port-1 |        10G SHE01 via WSM01         | 10G BASE-LR |  PT7420-81-1D+  |    -3    |   -10    |
| SHE01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| SHE01  | unit-13/port-1 |                                    | 10G BASE-LR |  APSP31B33CDL20 |   -40    |   -40    |
| SHE01  | unit-13/port-2 |         To BRI01 U-11 P-2          | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -5    |
| SLY01  | unit-11/port-1 |    link to AHP01 unit 13 port 2    | 10G BASE-LR |  PT7420-81-1D+  |    -2    |    -7    |
| SLY01  | unit-11/port-2 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
| SLY01  | unit-13/port-1 |                                    |   Unknown   |     Unknown     |   -50    |   -50    |
